daren,your,you,more,hanks,to,thank,ect,ii,hou,subject,and,http,gas,attached,ali,hpl,enron,forwarded,farmer,of,aren,a,forward,soft,meter,thanks,Prediction
0,0,0,0,1,3,1,6,0,2,2,0,0,3,0,0,4,13,2,0,0,0,30,2,0,0,1,0
1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,0,0,2,1,0
1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,1,0
0,0,0,0,0,53,0,2,0,2,0,14,0,0,0,2,0,0,0,0,14,0,287,2,0,0,0,1
1,0,0,0,1,4,1,1,0,1,0,1,0,3,0,0,1,0,0,0,4,1,51,0,0,2,1,0
0,0,1,1,0,1,0,2,0,0,1,0,0,0,1,0,0,3,1,0,0,0,14,1,0,0,0,0
0,1,3,1,0,14,0,2,0,1,1,3,0,10,0,0,0,3,1,0,5,0,87,1,0,1,0,0
0,0,2,0,0,11,0,47,0,22,3,2,0,0,0,0,0,0,1,0,11,0,83,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,28,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1
0,2,15,0,4,14,4,43,0,19,5,22,0,1,0,0,2,0,3,0,6,0,191,3,0,7,4,0
3,0,0,0,1,8,1,10,0,4,3,0,0,0,0,0,0,0,0,3,0,3,50,0,0,0,1,0
1,0,0,0,1,6,1,4,0,1,1,0,0,0,0,0,0,0,0,1,0,1,39,0,0,0,1,0
0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,3,0,0
2,2,4,1,2,6,2,7,0,5,1,5,0,0,2,0,0,0,1,0,1,2,71,1,0,0,2,0
0,0,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,3,1,0,0,0,19,1,0,0,0,0
0,1,1,0,1,2,1,1,0,1,0,3,0,0,0,0,0,0,0,0,3,0,27,0,0,0,1,0
0,5,6,0,0,4,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,1
0,0,0,0,0,3,0,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0,45,0,0,0,0,1
1,0,1,0,1,5,1,8,0,4,1,2,0,1,0,0,0,0,1,0,0,1,41,1,0,1,1,0
0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
0,0,7,1,2,8,2,20,0,10,4,4,0,0,0,0,0,0,2,0,2,0,57,2,0,5,2,0
0,0,3,0,2,8,2,3,0,1,0,7,0,1,0,0,0,0,0,0,0,0,48,0,0,2,2,0
0,6,8,1,0,7,0,2,0,1,0,7,0,0,0,1,0,0,0,0,5,0,61,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21,0,0,0,0,0
0,1,14,1,2,13,2,4,0,0,2,0,0,3,0,0,2,4,2,0,3,0,91,2,0,0,2,0
0,1,3,0,0,9,0,3,0,0,1,2,0,3,0,0,1,3,1,0,3,0,48,1,0,0,0,0
0,0,0,0,0,6,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,56,0,0,0,0,0
0,0,0,0,0,5,0,1,0,3,0,1,0,1,0,0,1,0,0,0,2,0,23,0,0,0,0,0
0,1,2,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,37,0,0,0,0,1
0,2,7,0,1,8,1,1,0,0,0,1,0,0,0,1,0,0,0,0,9,0,52,0,0,0,1,0
0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,52,0,0,0,0,1
0,1,17,3,1,38,1,7,0,0,2,17,0,12,0,0,3,6,2,0,11,0,278,2,0,0,1,0
0,0,1,0,0,1,0,2,0,0,1,0,0,0,1,0,2,3,1,0,0,0,13,1,0,0,0,0
0,0,0,0,0,5,0,2,0,2,1,0,0,0,1,0,2,3,1,0,0,0,12,1,0,0,0,0
0,2,6,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1
1,0,0,0,0,1,0,6,0,2,1,2,0,0,0,0,0,2,1,1,0,1,21,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0,1,2,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,22,0,0,0,0,1
0,3,4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,0,0,1
0,0,1,0,0,4,0,8,0,1,2,4,0,0,0,0,0,4,1,0,1,0,46,1,0,8,0,0
1,0,0,0,0,1,0,8,0,3,1,0,0,0,0,0,0,2,1,1,0,1,13,1,0,0,0,0
0,2,4,1,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,65,0,0,0,0,1
0,0,1,0,0,7,0,1,0,1,0,2,0,2,0,0,0,0,0,0,2,0,52,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0
1,0,0,0,0,10,0,15,1,11,1,6,0,3,0,0,1,0,1,1,6,1,80,1,0,13,0,0
0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1,0,1
4,1,1,0,1,12,1,11,0,6,2,3,0,0,0,1,0,0,0,2,2,4,128,2,0,7,1,0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
0,0,0,2,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1
0,4,4,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0
0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,1
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,3,1,0,0,0,13,1,0,0,0,0
1,0,0,0,1,3,1,1,0,0,0,1,0,1,0,0,1,0,0,0,2,1,22,0,0,1,1,0
1,0,0,0,1,3,1,1,0,0,0,2,0,1,0,0,1,0,0,0,4,1,28,0,0,1,1,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0
0,5,7,0,0,11,1,5,3,0,0,4,3,0,0,4,0,0,0,0,12,0,168,0,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0
0,4,10,0,0,15,0,1,0,0,0,12,43,0,0,27,0,0,0,0,1,0,231,0,1,0,0,1
0,1,1,1,1,1,1,4,0,1,0,2,0,0,0,0,0,0,0,0,2,0,28,0,0,0,1,0
1,1,1,0,1,3,1,13,0,7,1,4,0,0,0,0,0,0,1,1,4,1,45,1,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0
1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,1,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
0,0,1,0,1,5,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,34,0,0,0,1,0
0,4,17,1,0,15,0,2,0,1,0,13,2,0,0,2,0,0,0,0,13,0,172,0,0,0,0,1
0,4,12,0,0,23,0,4,0,0,0,20,0,0,0,3,0,0,0,0,11,0,190,0,1,0,0,1
0,0,2,0,2,10,1,17,0,8,1,2,0,2,0,0,1,7,1,0,1,0,68,1,0,1,1,0
0,0,3,0,4,15,2,29,0,14,2,5,0,3,0,0,2,8,2,0,2,0,128,3,0,4,1,0
1,0,1,0,2,6,2,8,0,2,1,0,0,3,0,0,0,2,0,1,0,1,48,0,0,0,2,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,20,0,0,1,0,0
0,1,2,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,35,0,0,0,0,1
0,0,0,0,0,2,0,1,0,1,0,2,0,1,0,0,0,0,0,0,1,0,24,0,0,0,0,0
0,1,1,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,19,0,0,0,0,1
0,1,2,1,0,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
0,1,1,0,0,1,0,2,0,1,0,1,0,0,0,2,0,0,0,0,2,0,25,0,0,0,0,1
0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23,0,0,1,1,0
0,4,7,0,2,12,2,1,0,0,0,2,0,0,0,0,0,2,0,0,8,0,55,1,0,0,2,0
0,0,0,2,0,32,0,9,0,2,0,23,0,0,0,4,1,0,0,0,33,0,314,2,0,0,0,1
1,0,0,0,2,5,0,16,0,8,1,2,0,2,0,0,0,2,1,1,1,1,51,1,0,0,0,0
0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,0,0,0,0,1
0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0
0,0,3,0,1,26,0,4,0,3,0,21,0,4,0,0,7,1,0,0,13,0,189,1,0,2,0,0
0,0,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18,0,0,1,0,0
0,1,6,1,2,11,2,23,0,9,4,2,0,2,0,0,5,5,2,0,2,0,110,2,0,0,2,0
0,0,1,0,0,2,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,14,1,0,0,0,0
0,7,11,2,0,16,1,8,3,0,0,7,3,0,0,5,0,0,0,0,21,0,387,0,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15,0,0,0,1,0
0,0,0,0,1,3,1,7,0,4,1,2,0,0,0,0,0,1,1,0,1,0,20,1,0,0,1,0
0,1,3,0,2,12,2,12,0,5,3,6,0,0,0,0,0,0,2,0,3,0,98,2,0,5,2,0
0,0,1,0,3,7,3,1,0,0,0,4,0,0,0,0,0,2,0,0,3,0,35,0,0,0,3,0
0,0,4,0,1,7,1,11,0,3,3,5,0,0,0,0,0,3,1,0,1,0,62,1,0,0,1,0
0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,55,0,0,0,0,1
0,0,0,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,14,0,0,3,1,0
0,0,3,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,7,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
0,0,1,0,0,3,0,2,0,0,1,1,0,0,1,0,2,3,1,0,0,0,11,1,0,0,0,0
0,0,1,0,1,12,1,3,0,2,0,3,0,0,0,0,0,0,0,0,2,0,52,0,0,0,1,0
0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1
0,0,0,0,0,16,0,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,42,0,0,0,0,0
0,0,1,0,0,2,0,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,10,0,0,0,0,0
0,1,2,2,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,27,0,0,0,0,1
0,1,2,1,0,2,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,30,0,0,0,0,1
0,0,1,0,1,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0
1,0,2,0,2,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,33,0,0,0,2,0
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,3,1,0,0,0,13,1,0,0,0,0
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,3,1,0,0,0,11,1,0,0,0,0
0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,41,0,0,0,0,0
0,2,13,1,4,36,4,62,0,26,6,9,0,8,4,1,0,6,5,0,14,1,275,7,0,0,4,0
0,0,0,0,1,22,1,47,0,21,1,5,0,0,0,0,0,2,1,0,6,0,121,2,0,0,1,0
2,0,5,0,2,5,3,10,0,3,3,0,0,0,0,1,0,3,1,2,0,2,32,1,0,0,2,0
0,1,5,0,0,12,0,7,0,3,2,6,0,2,0,0,3,2,2,0,2,0,122,2,0,3,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
0,0,2,0,0,12,0,4,3,0,0,9,0,1,0,1,0,0,0,0,1,0,214,0,0,0,0,1
0,1,3,0,1,2,1,1,0,0,0,3,0,0,0,0,0,1,0,2,0,0,28,0,0,0,1,0
0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,40,0,0,0,0,1
0,6,11,0,0,11,0,1,0,2,0,2,1,0,0,0,0,0,0,0,5,0,49,1,1,0,0,1
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,2,3,1,0,0,0,15,1,0,0,0,0
0,0,0,0,0,5,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,0,0,4,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
0,1,2,0,0,9,0,3,0,2,0,3,0,4,0,2,1,0,0,0,1,0,67,0,0,1,0,0
1,0,4,0,0,7,0,12,0,5,1,6,0,0,0,0,0,0,0,1,1,1,62,0,0,4,0,0
0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,25,1,0,0,0,0
1,0,0,0,0,6,1,12,0,6,1,1,0,0,0,0,0,2,1,1,3,1,48,2,0,0,0,0
1,1,2,0,0,4,0,2,0,0,1,2,0,0,0,0,0,0,0,0,2,1,28,0,0,0,0,0
0,1,1,0,0,8,0,8,1,1,0,5,0,0,0,1,0,0,0,0,1,0,192,0,0,0,0,1
0,0,2,0,0,9,0,3,4,0,0,5,0,0,0,1,0,0,0,0,0,1,178,1,0,0,0,1
1,2,5,2,1,10,1,3,0,1,0,14,0,0,0,0,0,0,0,0,7,1,97,0,0,0,1,0
0,1,3,0,1,3,1,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,28,0,0,0,1,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18,0,0,2,1,0
4,0,0,0,2,6,2,18,0,9,3,3,0,1,0,0,1,2,2,3,5,4,72,2,0,6,2,0
0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,0,0,3,1,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1
0,2,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0,1
0,2,3,0,1,9,1,3,0,0,1,2,0,0,0,0,0,0,0,0,3,0,38,2,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,1
0,0,0,0,0,23,0,1,0,1,0,11,0,2,0,0,3,1,0,0,3,0,127,0,0,1,0,0
0,2,3,1,0,11,0,1,0,0,0,3,0,0,0,0,0,0,0,0,5,0,81,0,0,0,0,0
0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1
1,0,1,0,0,28,0,6,0,2,1,16,0,2,0,0,3,3,0,1,4,1,150,0,0,1,0,0
0,2,2,0,0,6,0,2,0,1,0,2,1,0,0,0,0,0,0,0,7,0,33,0,3,0,0,1
0,2,18,1,0,17,0,2,0,3,0,9,0,0,0,0,0,0,0,0,8,1,163,0,0,0,0,0
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
0,1,5,0,1,6,1,2,0,0,0,4,0,0,0,1,0,0,0,0,7,0,69,0,0,0,1,0
3,3,16,1,5,41,5,79,0,33,9,11,0,8,4,1,0,13,8,3,18,4,341,10,0,0,5,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,6,0,5,34,5,45,0,18,7,5,0,12,0,0,1,0,5,1,3,2,228,5,0,11,5,0
0,2,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,1,0
1,2,5,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,24,0,0,0,1,0
0,0,1,0,1,2,1,7,0,4,1,3,0,0,0,0,0,0,1,0,0,0,37,1,0,2,1,0
1,0,1,0,2,9,2,16,0,9,2,5,0,0,0,0,0,2,1,1,3,1,81,1,0,2,2,0
0,3,4,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,1
0,0,3,0,0,7,0,1,0,2,0,5,0,0,0,0,0,0,0,0,4,0,41,0,0,0,0,0
0,1,3,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1
0,1,3,0,0,6,0,1,0,0,0,1,1,0,0,2,0,0,0,0,3,0,48,0,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15,0,0,0,1,0
1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,12,0,0,4,0,0
0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1
0,0,1,0,0,3,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,38,0,0,2,0,0
0,3,11,1,0,18,0,4,0,1,0,17,0,0,0,2,0,0,0,3,15,0,178,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,0,0
0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1
0,0,1,0,1,2,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,23,0,0,1,1,0
4,0,6,0,5,37,5,51,0,22,8,5,0,12,0,0,1,0,6,2,3,4,250,6,0,11,5,0
0,8,15,0,0,51,0,13,0,2,0,9,0,0,0,10,0,0,0,0,21,0,337,0,0,0,0,1
1,1,3,0,2,2,1,2,0,0,1,3,0,0,1,0,0,2,0,1,5,1,47,0,0,0,1,0
0,2,3,0,0,8,0,1,1,0,0,1,0,0,0,2,0,0,0,0,3,0,22,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,0,0
0,0,4,0,2,7,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,58,0,0,0,2,0
0,0,6,0,1,12,1,11,0,2,0,4,0,8,1,0,0,0,0,0,2,0,120,1,0,0,1,0
0,0,0,0,0,8,0,4,0,1,0,12,0,0,0,2,0,6,0,0,14,0,191,0,0,0,0,0
0,2,7,0,0,7,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,32,0,0,0,0,1
0,0,0,0,0,3,0,2,0,0,1,0,0,0,1,0,2,3,1,0,0,0,13,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0
1,2,3,0,1,11,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,93,0,0,2,1,0
0,1,1,0,2,15,2,36,0,16,6,5,0,0,1,1,0,6,3,0,2,0,117,4,0,13,2,0
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,4,11,0,1,28,2,13,0,8,2,4,0,0,0,0,0,6,0,2,2,5,170,0,0,3,1,0
0,6,8,1,0,9,0,1,0,2,0,6,0,0,0,1,0,0,0,0,6,0,62,0,0,0,0,1
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,2,3,1,0,0,0,13,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0
0,1,3,0,0,5,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,22,1,0,0,0,0
0,6,14,0,2,28,2,33,0,14,1,10,0,2,3,0,0,0,1,0,10,0,253,1,0,0,2,0
1,1,4,0,2,3,2,5,0,1,1,2,0,0,0,0,0,4,0,0,0,1,29,1,0,0,2,0
0,0,1,0,1,9,1,19,0,8,1,0,0,0,0,0,1,5,1,0,7,0,80,1,0,0,1,0
0,0,0,0,0,3,0,2,0,0,1,0,0,0,1,0,2,3,1,0,0,0,11,1,0,0,0,0
0,0,1,0,0,26,0,5,0,1,1,14,0,4,0,0,0,15,1,0,9,0,204,1,0,0,0,0
0,0,1,2,1,50,1,39,0,20,1,20,0,2,0,0,0,11,1,0,15,0,282,1,0,1,1,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,0,0,0,0,0
0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,1
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,3,1,0,0,0,13,1,0,0,0,0
1,1,5,0,1,17,2,13,0,5,1,5,0,0,0,1,0,7,0,1,11,1,123,0,0,2,1,0
0,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,1,1,0
2,0,2,0,3,8,3,61,0,30,2,2,0,0,0,0,0,4,2,2,1,2,102,2,0,0,3,0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,1,0
1,0,1,0,1,4,1,14,0,7,1,0,0,1,0,0,0,2,0,1,0,1,29,0,0,0,1,0
0,1,8,0,0,11,0,1,0,1,0,7,0,0,0,1,0,0,0,0,7,0,115,2,0,0,0,1
0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,20,0,0,0,1,0
0,1,1,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,19,0,0,0,0,1
0,0,0,0,1,9,1,1,0,0,0,13,0,2,0,0,1,0,0,0,5,0,87,0,0,4,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0
0,1,4,0,1,7,1,2,0,2,0,4,0,0,0,0,0,0,0,0,5,1,36,0,0,0,1,0
1,0,2,0,1,5,1,17,0,9,2,5,0,0,0,0,0,1,1,1,0,1,62,2,0,3,1,0
0,0,0,0,1,4,1,13,0,6,1,0,0,0,0,0,0,2,1,0,0,0,21,1,0,0,1,0
0,0,2,0,1,7,1,13,0,6,1,0,0,0,1,0,0,2,1,0,4,0,49,1,0,1,1,0
0,3,18,0,0,15,1,2,0,0,0,13,0,0,0,1,0,10,0,0,7,0,141,0,0,0,0,0
0,3,18,0,0,17,1,2,0,0,0,14,0,0,0,1,0,11,0,0,10,0,153,0,0,0,0,0
0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,0,0,0,1,0
